#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2016-01-01,11,6,34,7,10,9,1.4,96,8.75,1023,80.625,11,9,4,122,122,122,0,2,3.2,météo défavorable,17:23:00,08:57:00,6
2016-01-02,10,6,44,10,10,7,0.8,81,7.875,1012,64.125,10,7,5,200,122,113,0,3,3.3,météo défavorable,17:24:00,08:57:00,10
2016-01-03,10,6,49,9,10,9,11.3,92,9.125,1011,68.75,10,9,5,122,122,299,0,3,3.3,météo défavorable,17:25:00,08:57:00,7
2016-01-04,7,4,17,4,7,4,0.2,89,8.875,1020,54.375,7,4,1,119,119,119,0,3,8.7,météo très défavorable,17:26:00,08:57:00,7
2016-01-05,11,5,28,7,11,8,0.2,86,9.5,1014,71.875,11,6,3,122,116,200,0,2,5.1,météo défavorable,17:28:00,08:57:00,5
2016-01-06,11,6,28,6,11,8,1.6,91,9.875,1001,74.25,11,7,3,122,116,119,0,2,6.9,météo défavorable,17:29:00,08:57:00,8
2016-01-07,13,6,38,13,11,6,4,92,8.375,1005,51.75,13,12,6,266,176,113,0,2,8.7,météo correcte,17:30:00,08:56:00,12
2016-01-08,10,6,17,7,10,8,0.5,95,9.375,1005,74.5,10,8,4,122,119,122,0,3,3.3,météo défavorable,17:31:00,08:56:00,7
2016-01-09,12,7,45,7,12,10,8,92,9.125,1001,57.75,12,8,4,116,200,299,0,3,3.3,météo défavorable,17:32:00,08:56:00,7
2016-01-10,10,5,28,5,10,5,0.2,86,9.875,992,39.75,10,5,2,116,119,116,0,3,6.9,météo très défavorable,17:33:00,08:55:00,6
2016-01-11,10,6,34,6,10,7,2.6,81,10,996,37.125,10,6,2,116,113,113,0,2,8.7,météo défavorable,17:35:00,08:55:00,8
2016-01-12,9,5,32,6,9,5,0.1,82,10,1017,31.875,9,4,1,113,116,116,0,3,8.7,météo défavorable,17:36:00,08:54:00,6
2016-01-13,9,3,19,3,9,5,0.3,83,10,1022,34.75,9,5,-1,113,119,116,0,3,6.9,météo très défavorable,17:37:00,08:54:00,3
2016-01-14,8,3,31,6,8,4,0.6,91,9.875,1019,38.5,8,6,0,116,113,113,0,2,8.7,météo très défavorable,17:39:00,08:53:00,6
2016-01-15,7,2,34,2,7,3,2,79,9.625,1029,18.125,7,1,-3,176,176,116,0,2,8.7,météo très défavorable,17:40:00,08:52:00,2
2016-01-16,8,1,12,3,8,3,0.1,86,10,1031,48.25,8,2,-0,122,119,113,0,3,5.1,météo très défavorable,17:41:00,08:52:00,1
2016-01-17,8,1,16,2,8,4,0.3,86,9,1030,82.125,8,4,-1,119,122,122,0,3,3.3,météo très défavorable,17:43:00,08:51:00,1
2016-01-18,4,-1,36,2,2,0,7.1,98,6.375,1017,96.25,4,1,-5,122,296,266,0,1,3.4,météo très défavorable,17:44:00,08:50:00,3
2016-01-19,5,-1,9,-1,4,1,0,93,9,1017,62.875,5,1,-3,116,119,116,0,1,5.1,météo très défavorable,17:46:00,08:49:00,-1
2016-01-20,5,0,17,0,4,2,0,96,9,1020,54,5,2,-4,119,113,113,0,1,8.7,météo très défavorable,17:47:00,08:49:00,0
2016-01-21,7,0,24,-0,6,4,0,94,10,1022,38.875,7,1,-5,116,116,116,0,2,8.7,météo très défavorable,17:49:00,08:48:00,0
2016-01-22,13,4,31,6,12,11,2.3,97,7.875,1027,78.875,13,12,2,122,122,266,0,4,3.4,météo défavorable,17:50:00,08:47:00,4
2016-01-23,11,4,22,4,10,8,0.2,89,9,1033,33,11,9,2,113,113,122,0,3,8.7,météo très défavorable,17:52:00,08:46:00,4
2016-01-24,15,10,19,11,14,11,0,98,10,1031,52.375,15,12,8,122,116,113,0,3,6.9,météo correcte,17:53:00,08:45:00,11
2016-01-25,15,6,26,6,14,11,0.1,96,9,1028,37.375,15,12,3,113,116,116,0,4,5.2,météo correcte,17:55:00,08:44:00,7
2016-01-26,12,7,37,7,12,10,1.2,96,8.75,1028,49.125,12,9,4,116,116,122,0,2,8.7,météo défavorable,17:56:00,08:43:00,8
2016-01-27,12,11,45,11,12,12,11.6,90,8.125,1022,100,12,10,7,122,122,122,0,3,3.4,météo défavorable,17:58:00,08:42:00,11
2016-01-28,10,5,10,7,10,5,8.6,86,7.625,1031,51.25,10,8,5,266,113,113,0,2,6.9,météo défavorable,17:59:00,08:40:00,8
2016-01-29,11,4,27,6,11,10,0.2,93,10,1032,67.5,11,9,2,116,122,122,0,3,4.8,météo défavorable,18:01:00,08:39:00,5
2016-01-30,11,8,45,11,10,9,4.9,91,8.75,1024,99.5,11,10,6,122,122,122,0,3,4.8,météo défavorable,18:02:00,08:38:00,11
2016-01-31,14,8,33,11,14,13,4.1,96,8.625,1024,99,14,12,9,122,296,122,0,3,4.8,météo défavorable,18:04:00,08:37:00,9
2016-02-01,12,10,26,10,12,11,0.5,91,9,1028,89.875,12,10,8,122,122,119,0,3,4.9,météo défavorable,18:05:00,08:35:00,11
2016-02-02,12,6,33,12,12,7,3.7,93,8.75,1026,85.875,12,11,7,122,122,293,0,3,8.2,météo défavorable,18:07:00,08:34:00,12
2016-02-03,9,4,36,5,9,5,0.1,84,10,1035,19.25,9,5,0,113,116,113,0,2,9.8,météo très défavorable,18:08:00,08:33:00,5
2016-02-04,12,3,28,7,12,11,0.4,92,9,1035,87,12,11,4,122,122,122,0,4,4.9,météo défavorable,18:10:00,08:31:00,4
2016-02-05,11,7,26,9,11,8,0.3,98,6.5,1031,82.25,11,9,6,248,122,119,0,2,4.9,météo défavorable,18:12:00,08:30:00,7
2016-02-06,13,8,55,10,13,10,3.7,89,8.625,1015,77.375,13,9,6,122,119,122,0,3,6.6,météo défavorable,18:13:00,08:28:00,10
2016-02-07,10,5,36,5,10,9,4.1,82,9.75,1006,41.875,10,9,1,113,113,122,0,2,9.9,météo très défavorable,18:15:00,08:27:00,5
2016-02-08,12,8,54,10,10,8,1.9,79,10,1007,67.375,12,9,4,116,119,119,0,2,5,météo défavorable,18:16:00,08:25:00,11
2016-02-09,12,3,51,12,8,5,2.8,89,9.75,1005,87,12,10,0,122,200,119,0,2,5,météo défavorable,18:18:00,08:24:00,9
2016-02-10,8,2,23,2,8,4,0.3,79,9.875,1007,17.5,8,1,-3,113,113,113,0,3,10,météo très défavorable,18:20:00,08:22:00,3
2016-02-11,9,1,15,1,9,4,0.6,87,9.75,1007,17.75,9,3,-2,113,116,176,0,3,10,météo très défavorable,18:21:00,08:21:00,1
2016-02-12,11,4,33,6,11,8,7.1,98,9.5,1001,83.375,11,7,3,296,122,353,0,3,5,météo défavorable,18:23:00,08:19:00,5
2016-02-13,10,5,57,9,10,8,2.4,95,9.875,994,74.875,10,8,5,122,122,116,0,3,8.3,météo défavorable,18:24:00,08:18:00,7
2016-02-14,10,4,18,4,10,5,1.6,91,8.75,1005,47.125,10,4,-0,116,113,176,0,2,10.1,météo très défavorable,18:26:00,08:16:00,6
2016-02-15,7,2,34,2,7,3,0.1,81,10,1033,33.875,7,1,-4,113,122,116,0,2,10,météo très défavorable,18:28:00,08:14:00,2
2016-02-16,8,0,11,-0,7,3,0,84,10,1036,3.375,8,0,-4,113,113,113,0,2,10.2,météo très défavorable,18:29:00,08:13:00,0
2016-02-17,7,-1,25,-1,7,4,3.3,73,8.625,1029,65.5,7,1,-6,119,116,122,0,2,6.7,météo très défavorable,18:31:00,08:11:00,-1
2016-02-18,7,1,19,2,7,1,3.2,94,9.75,1022,61.75,7,4,0,296,122,113,0,1,8.4,météo très défavorable,18:32:00,08:09:00,2
2016-02-19,10,1,27,1,10,7,0.6,88,8.875,1023,40.125,10,6,-3,113,116,122,0,3,10,météo très défavorable,18:34:00,08:07:00,1
2016-02-20,13,9,30,9,13,12,0.4,96,10,1024,98.625,13,11,6,122,122,122,0,3,5.2,météo défavorable,18:36:00,08:06:00,10
2016-02-21,13,10,28,11,13,11,0.2,96,9,1024,88.375,13,10,7,119,122,122,0,3,5.2,météo défavorable,18:37:00,08:04:00,11
2016-02-22,12,9,23,9,12,11,0.8,95,8.75,1018,72,12,10,6,116,116,122,0,3,6.8,météo défavorable,18:39:00,08:02:00,10
