#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2012-01-01,13,11,39,13,13,12,5.5,97,7.375,1018,96,13,12,10,200,122,122,0,3,3.2,météo défavorable,17:23:00,08:57:00,12
2012-01-02,9,5,23,7,9,5,2.8,89,9.875,1022,26.5,9,9,2,113,113,113,0,2,8.7,météo défavorable,17:24:00,08:57:00,8
2012-01-03,13,7,40,11,12,11,2,95,8.25,1021,86.25,13,12,7,266,122,119,0,3,3.3,météo défavorable,17:25:00,08:57:00,9
2012-01-04,10,5,24,5,10,8,0,91,10,1030,42.875,10,7,2,116,116,119,0,3,8.7,météo très défavorable,17:26:00,08:57:00,6
2012-01-05,12,7,35,9,12,9,1.1,93,8,1022,71.25,12,11,6,266,122,113,0,3,5.1,météo défavorable,17:28:00,08:57:00,9
2012-01-06,10,6,15,7,10,6,0.1,86,10,1031,55.75,10,6,3,116,116,113,0,3,6.9,météo défavorable,17:29:00,08:57:00,7
2012-01-07,8,3,21,4,7,5,0.4,84,9.125,1029,57,8,7,0,119,116,116,0,2,6.9,météo très défavorable,17:30:00,08:56:00,3
2012-01-08,9,6,13,7,9,7,0.4,93,9,1032,66.875,9,7,4,116,119,119,0,3,3.3,météo défavorable,17:31:00,08:56:00,6
2012-01-09,8,4,19,4,8,6,0.7,94,7.875,1032,62.625,8,8,1,116,119,119,0,2,5.1,météo très défavorable,17:32:00,08:56:00,5
2012-01-10,11,2,5,2,11,6,0.1,100,3,1037,62.25,11,9,2,248,113,143,0,2,6.9,météo très défavorable,17:33:00,08:55:00,3
2012-01-11,9,3,10,3,9,4,0,97,6,1037,24.25,9,6,1,143,113,113,0,2,8.7,météo très défavorable,17:35:00,08:55:00,5
2012-01-12,9,1,10,1,9,5,0,96,5,1034,32.125,9,7,1,143,116,119,0,2,8.7,météo très défavorable,17:36:00,08:54:00,1
2012-01-13,9,2,11,7,9,4,0.3,98,5.5,1033,56.75,9,7,5,266,116,113,0,2,6.9,météo défavorable,17:37:00,08:54:00,6
2012-01-14,5,-1,18,-1,5,0,0,97,10,1030,17.75,5,1,-5,116,113,113,0,2,8.7,météo très défavorable,17:39:00,08:53:00,0
2012-01-15,4,-2,17,-2,4,-1,0,91,10,1023,4,4,0,-8,113,113,113,0,2,8.7,météo très défavorable,17:40:00,08:52:00,-2
2012-01-16,4,-3,13,-3,3,-2,0,80,10,1025,2.375,4,0,-8,113,113,113,0,2,8.7,météo très défavorable,17:41:00,08:52:00,-3
2012-01-17,4,-4,10,-4,4,0,0,72,9,1031,23,4,0,-7,116,113,113,0,2,6.9,météo très défavorable,17:43:00,08:51:00,-3
2012-01-18,10,-1,18,3,8,9,1,98,6,1031,79,10,10,-1,119,266,119,0,2,3.4,météo très défavorable,17:44:00,08:50:00,0
2012-01-19,13,9,28,11,13,11,0.5,97,10,1031,82.375,13,11,8,119,122,122,0,3,3.4,météo défavorable,17:46:00,08:50:00,10
2012-01-20,11,6,24,6,11,7,0.1,93,10,1031,50.875,11,8,3,116,122,113,0,3,6.9,météo défavorable,17:47:00,08:49:00,6
