#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2018-01-01,11,7,47,8,11,7,10.6,84,9.375,1016,44.25,11,7,5,122,302,113,0,3,5.1,météo défavorable,17:24:00,08:57:00,7
2018-01-02,13,5,23,6,11,12,1.4,96,7.875,1018,79.75,13,12,3,143,122,122,0,4,3.3,météo défavorable,17:25:00,08:57:00,5
2018-01-03,14,9,35,11,11,10,5.7,78,9.5,1014,87.5,14,12,5,119,119,122,0,3,5.1,météo défavorable,17:26:00,08:57:00,13
2018-01-04,15,10,40,14,14,10,6,88,8,1008,90.75,15,12,10,296,122,263,0,3,3.3,météo défavorable,17:27:00,08:57:00,15
2018-01-05,11,6,23,8,10,7,1.4,87,9.25,1003,55.625,11,10,6,263,116,116,0,2,8.7,météo défavorable,17:28:00,08:57:00,10
2018-01-06,8,4,10,5,8,5,0,91,10,1011,50.375,8,5,4,116,119,122,0,3,6.9,météo très défavorable,17:29:00,08:56:00,5
2018-01-07,7,4,36,6,7,6,3.9,85,9.625,1016,92.375,7,5,0,296,296,122,0,2,3.3,météo très défavorable,17:30:00,08:56:00,5
2018-01-08,8,4,21,4,7,5,0.2,93,8,1016,62.875,8,5,0,122,116,143,0,2,5.1,météo très défavorable,17:32:00,08:56:00,4
2018-01-09,10,3,18,3,9,9,3.4,98,6.125,1011,92.875,10,8,-0,248,122,122,0,2,3.3,météo très défavorable,17:33:00,08:55:00,3
2018-01-10,10,5,12,6,10,7,3.3,93,8.75,1009,39,10,7,3,116,113,116,0,2,8.7,météo très défavorable,17:34:00,08:55:00,6
2018-01-11,9,5,13,6,9,6,0.3,96,7,1024,74.625,9,7,5,143,119,116,0,2,3.3,météo défavorable,17:35:00,08:54:00,7
2018-01-12,8,3,12,3,8,5,0,94,10,1027,53.875,8,5,3,116,119,119,0,3,5.1,météo très défavorable,17:37:00,08:54:00,3
2018-01-13,6,2,23,3,6,5,0,90,10,1022,78.75,6,3,-2,122,119,122,0,2,5.1,météo très défavorable,17:38:00,08:53:00,3
2018-01-14,9,3,11,4,8,6,0.2,96,9,1020,73.75,9,6,1,122,116,119,0,2,6.9,météo très défavorable,17:39:00,08:53:00,3
2018-01-15,12,4,37,8,11,10,3.1,92,8.875,1019,77.5,12,10,4,119,122,293,0,3,3.3,météo défavorable,17:41:00,08:52:00,6
2018-01-16,11,7,30,10,11,8,1.8,84,9.875,1009,83.875,11,8,6,122,122,119,0,2,5.1,météo défavorable,17:42:00,08:51:00,10
2018-01-17,9,4,28,4,9,6,0.7,78,10,1019,54.5,9,4,-1,116,116,116,0,2,6.9,météo très défavorable,17:44:00,08:51:00,5
2018-01-18,13,6,33,12,13,8,3,91,8.875,1015,80.375,13,10,9,122,122,176,0,3,3.4,météo défavorable,17:45:00,08:50:00,11
2018-01-19,8,4,21,5,8,5,0.5,91,9.75,1018,32.75,8,4,2,119,113,116,0,3,8.7,météo très défavorable,17:46:00,08:49:00,4
2018-01-20,13,6,31,9,13,12,9.4,95,8.125,1016,93.375,13,11,6,122,122,266,0,3,3.4,météo défavorable,17:48:00,08:48:00,7
2018-01-21,13,8,29,9,13,13,1.4,96,7.875,1017,87.5,13,11,8,143,122,122,0,4,3.4,météo défavorable,17:49:00,08:47:00,8
2018-01-22,13,7,34,13,12,9,2.5,90,9,1024,74.375,13,12,8,122,353,116,0,3,3.4,météo défavorable,17:51:00,08:46:00,13
2018-01-23,15,6,27,11,15,12,0.5,96,7,1024,79.5,15,12,8,122,116,122,0,3,5.2,météo défavorable,17:52:00,08:45:00,7
2018-01-24,13,9,37,12,12,12,3.7,90,7.75,1021,88.875,13,12,8,122,122,122,0,3,3.4,météo défavorable,17:54:00,08:44:00,13
