#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2013-01-01,9,4,22,7,9,5,6,93,9.5,1020,45.25,9,8,3,122,116,113,0,2,8.7,météo défavorable,17:24:00,08:57:00,7
2013-01-02,10,4,13,4,9,8,0.1,91,10,1032,75.875,10,8,1,116,116,122,0,2,3.3,météo très défavorable,17:25:00,08:57:00,5
2013-01-03,11,7,10,8,11,8,0.7,97,4.125,1041,59.875,11,9,5,263,116,143,0,2,6.9,météo défavorable,17:26:00,08:57:00,9
2013-01-04,11,4,5,5,11,5,0,97,3.5,1041,40.625,11,9,4,143,113,248,0,2,8.7,météo très défavorable,17:27:00,08:57:00,6
2013-01-05,9,2,6,2,9,3,0,100,2.5,1039,82.375,9,7,2,248,116,248,0,2,6.9,météo très défavorable,17:28:00,08:57:00,3
2013-01-06,8,1,8,1,7,4,0,98,3.25,1036,60,8,6,-1,248,113,143,0,1,8.7,météo très défavorable,17:29:00,08:56:00,3
2013-01-07,6,1,10,2,6,5,0,97,3.25,1030,71.625,6,4,0,248,116,143,0,1,6.9,météo très défavorable,17:31:00,08:56:00,1
2013-01-08,8,4,14,4,8,6,0.3,97,4.375,1029,65.125,8,6,3,143,263,143,0,2,6.9,météo très défavorable,17:32:00,08:56:00,4
2013-01-09,10,6,18,6,8,8,0.8,98,9,1026,98.25,10,8,2,122,122,122,0,2,3.3,météo défavorable,17:33:00,08:55:00,6
2013-01-10,12,6,17,9,12,8,10.6,99,7.875,1020,79.625,12,10,7,302,122,176,0,2,3.3,météo défavorable,17:34:00,08:55:00,9
2013-01-11,10,4,13,4,9,6,0,94,10,1022,39.875,10,7,0,116,116,119,0,3,6.9,météo très défavorable,17:36:00,08:54:00,4
2013-01-12,8,2,15,4,8,4,8,100,9.375,1014,54.375,8,7,0,299,119,113,0,2,6.9,météo très défavorable,17:37:00,08:54:00,4
2013-01-13,8,1,20,1,8,4,0.4,93,10,1021,54,8,5,-1,116,116,353,0,2,6.9,météo très défavorable,17:38:00,08:53:00,1
2013-01-14,6,0,22,1,5,4,0.3,93,9,1021,81.625,6,4,-1,122,122,122,0,2,3.3,météo très défavorable,17:40:00,08:53:00,0
2013-01-15,6,1,23,2,6,1,1.1,88,9.75,1013,37.125,6,2,-3,176,116,116,0,2,8.7,météo très défavorable,17:41:00,08:52:00,2
2013-01-16,4,-3,22,2,4,-2,0.9,96,9.25,1016,59.25,4,2,-3,119,119,113,0,1,5.1,météo très défavorable,17:42:00,08:51:00,3
2013-01-17,4,-3,14,-3,3,-1,0,80,10,1019,21.125,4,0,-3,116,113,113,0,2,8.7,météo très défavorable,17:44:00,08:51:00,-3
2013-01-18,-1,-4,28,-4,-1,-2,3.6,94,4.875,1011,89.75,0,0,-11,122,122,284,1,2,3.4,météo très défavorable,17:45:00,08:50:00,-3
2013-01-19,2,-1,20,1,2,-0,0.3,98,7.125,994,87.375,2,1,-4,122,122,332,0.1,1,3.4,météo très défavorable,17:47:00,08:49:00,0
2013-01-20,2,-2,12,-1,2,-1,0.2,99,9.375,996,59.375,2,2,-5,116,332,113,0.2,1,5.2,météo très défavorable,17:48:00,08:48:00,-1
2013-01-21,1,-2,23,-1,1,0,9.4,100,7,1001,81.75,1,1,-5,122,266,176,0,1,3.4,météo très défavorable,17:50:00,08:47:00,0
2013-01-22,5,-1,16,1,5,2,2.9,100,6.375,1000,78.25,5,5,-4,200,266,293,0,1,3.4,météo très défavorable,17:51:00,08:46:00,-1
2013-01-23,6,-2,12,-2,6,3,1,98,4.25,1006,69.875,6,4,-4,260,266,119,0,1,3.4,météo très défavorable,17:53:00,08:45:00,-1
2013-01-24,6,-2,14,-2,6,0,1.4,96,9.25,1019,48.625,6,3,-5,185,119,113,0,1,6.9,météo très défavorable,17:54:00,08:44:00,1
2013-01-25,4,-5,20,-5,2,1,4.3,95,7.125,1019,35.875,4,0,-9,143,113,116,0,1,8.7,météo très défavorable,17:56:00,08:43:00,-4
2013-01-26,9,1,24,6,9,5,4.2,88,9.625,1016,48.75,9,6,1,176,113,116,0,2,8.7,météo très défavorable,17:57:00,08:42:00,4
2013-01-27,11,5,33,9,11,6,7,97,8.5,1010,48.375,11,9,5,122,299,113,0,3,8.7,météo défavorable,17:59:00,08:41:00,9
2013-01-28,11,3,30,3,11,10,0.2,92,9,1018,61.5,11,10,-1,113,122,122,0,3,6.5,météo très défavorable,18:00:00,08:40:00,5
2013-01-29,13,10,34,11,13,12,8.6,97,6.125,1015,95.25,13,12,7,122,302,119,0,3,4.8,météo défavorable,18:02:00,08:38:00,11
2013-01-30,14,6,38,13,14,8,4.3,96,8.75,1025,54.25,14,12,9,122,176,113,0,3,9.7,météo correcte,18:03:00,08:37:00,12
2013-01-31,13,5,25,7,13,9,0.5,97,9,1025,65.5,13,9,4,116,122,119,0,3,4.8,météo défavorable,18:05:00,08:36:00,6
2013-02-01,11,6,21,9,11,7,9.7,98,8.25,1018,98.875,11,11,7,266,122,296,0,2,4.9,météo défavorable,18:06:00,08:34:00,8
2013-02-02,7,1,36,5,7,2,0.6,89,10,1025,40.625,7,4,0,353,116,113,0,2,9.8,météo très défavorable,18:08:00,08:33:00,5
2013-02-03,8,-1,21,-0,7,7,1.5,90,8.875,1028,67.5,8,8,-4,116,119,296,0,3,4.9,météo très défavorable,18:10:00,08:32:00,-1
2013-02-04,11,7,24,8,11,8,0.3,97,9,1023,77.875,11,10,5,119,122,122,0,2,4.9,météo défavorable,18:11:00,08:30:00,8
2013-02-05,6,3,27,6,5,3,2.1,98,9.375,1021,49.5,6,5,0,116,116,113,0,1,9.8,météo très défavorable,18:13:00,08:29:00,5
2013-02-06,7,2,34,5,7,3,1.2,88,9.875,1019,54.25,7,4,-0,119,353,113,0,3,8.3,météo très défavorable,18:14:00,08:27:00,4
2013-02-07,7,0,18,0,7,4,0.8,87,9,1023,59.25,7,2,-4,113,122,119,0,2,5,météo très défavorable,18:16:00,08:26:00,1
2013-02-08,6,0,21,2,6,1,2.5,95,9.75,1023,58.875,6,2,-2,317,116,113,0,1,9.9,météo très défavorable,18:18:00,08:24:00,3
2013-02-09,7,1,11,3,6,6,4,92,5.75,1024,97.5,7,6,0,266,296,143,0,2,5,météo très défavorable,18:19:00,08:23:00,4
2013-02-10,10,4,24,6,10,6,13.2,99,6.125,1013,100,10,9,3,122,296,389,0,2,5,météo défavorable,18:21:00,08:21:00,6
2013-02-11,9,1,11,1,9,4,1.5,93,9.875,1006,10.125,9,4,-3,116,113,113,0,2,10,météo très défavorable,18:22:00,08:20:00,1
2013-02-12,8,2,17,3,8,4,0.8,94,8,1018,76.375,8,4,-0,143,122,353,0,3,5,météo très défavorable,18:24:00,08:18:00,3
2013-02-13,5,-1,14,-1,5,4,1.9,90,7.75,1022,77.25,5,3,-5,116,119,266,0,1,6.7,météo très défavorable,18:26:00,08:16:00,1
2013-02-14,12,4,26,9,12,6,7.1,97,8.25,1021,53.625,12,9,6,122,299,113,0,2,10,météo défavorable,18:27:00,08:15:00,6
2013-02-15,10,3,10,3,10,5,0.4,96,9,1024,52.125,10,6,-0,143,116,116,0,3,10,météo très défavorable,18:29:00,08:13:00,3
2013-02-16,11,2,10,2,10,5,0.2,93,10,1024,34.125,11,5,-0,113,116,116,0,3,10.2,météo très défavorable,18:30:00,08:11:00,2
2013-02-17,8,1,24,1,8,3,0,94,10,1021,3.25,8,2,-4,113,113,113,0,2,10.2,météo très défavorable,18:32:00,08:10:00,2
