#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2017-01-01,5,-1,20,3,5,5,0.2,92,10,1028,83,5,4,-1,119,122,122,0,2,3.3,météo très défavorable,17:24:00,08:57:00,3
2017-01-02,6,1,15,4,6,3,0.5,98,2.625,1029,73.25,6,5,2,248,266,113,0,1,3.3,météo très défavorable,17:25:00,08:57:00,3
2017-01-03,6,-1,9,-1,5,-1,0,93,10,1032,3.875,6,1,-4,113,113,113,0,2,8.7,météo très défavorable,17:26:00,08:57:00,-1
2017-01-04,7,-1,17,-1,7,5,0.3,93,8,1030,50.375,7,4,-5,113,119,266,0,2,5.1,météo très défavorable,17:27:00,08:57:00,-1
2017-01-05,6,0,10,2,6,1,0,93,8,1037,36.625,6,4,-2,119,113,113,0,1,8.7,météo très défavorable,17:28:00,08:57:00,4
2017-01-06,5,-2,8,-1,4,-0,0,94,10,1038,22,5,1,-4,113,113,116,0,2,8.7,météo très défavorable,17:30:00,08:56:00,-1
2017-01-07,4,-2,9,-2,3,3,0.4,58,9,1037,88.875,4,3,-5,122,122,266,0,2,3.3,météo très défavorable,17:31:00,08:56:00,-2
2017-01-08,10,5,11,6,8,7,1,97,1.5,1035,95.375,10,9,3,143,266,143,0,2,3.3,météo défavorable,17:32:00,08:56:00,5
2017-01-09,10,5,18,6,10,9,2,96,5.375,1032,88.25,10,9,3,143,122,122,0,2,5.1,météo très défavorable,17:33:00,08:55:00,5
2017-01-10,9,6,15,7,8,8,1.2,92,8.875,1017,85.125,9,7,4,122,122,122,0,2,3.3,météo défavorable,17:34:00,08:55:00,6
2017-01-11,11,7,23,10,11,9,0.2,97,9,1022,88.125,11,10,8,122,122,119,0,3,3.3,météo défavorable,17:36:00,08:54:00,8
2017-01-12,10,4,42,6,8,7,5.3,95,7.625,1022,91.5,10,9,4,143,122,122,0,2,3.3,météo défavorable,17:37:00,08:54:00,6
2017-01-13,6,2,29,3,6,3,1.8,80,8.875,1021,48,6,1,-2,119,113,116,0,1,8.7,météo très défavorable,17:38:00,08:53:00,3
2017-01-14,8,1,23,1,8,4,0.9,92,9.875,1026,51.5,8,4,-3,116,116,353,0,2,8.7,météo très défavorable,17:40:00,08:53:00,1
2017-01-15,9,4,22,5,8,9,4.2,94,5.625,1027,99.25,9,8,3,143,296,296,0,2,3.3,météo très défavorable,17:41:00,08:52:00,5
2017-01-16,9,5,14,8,9,6,4.1,98,5.625,1028,99.25,9,8,6,122,143,143,0,2,3.3,météo défavorable,17:42:00,08:51:00,9
2017-01-17,4,-2,10,-1,4,-1,0.1,95,8,1035,16.5,4,2,-3,143,113,113,0,2,8.7,météo très défavorable,17:44:00,08:50:00,0
2017-01-18,4,-3,26,-3,3,-1,0,72,10,1036,6.625,4,0,-8,113,113,113,0,2,8.7,météo très défavorable,17:45:00,08:50:00,-3
2017-01-19,2,-4,19,-3,1,-3,0,57,10,1034,2.5,2,0,-9,113,113,113,0,2,8.7,météo très défavorable,17:47:00,08:49:00,-3
2017-01-20,2,-5,11,-5,1,-4,0,87,10,1032,6.5,2,0,-9,113,113,113,0,2,8.7,météo très défavorable,17:48:00,08:48:00,-5
2017-01-21,5,-5,7,-5,3,-3,0,81,10,1028,7.625,5,0,-9,113,113,113,0,2,8.7,météo très défavorable,17:50:00,08:47:00,-5
2017-01-22,6,-4,12,-4,5,-1,0,74,10,1026,25.125,6,0,-7,113,113,116,0,2,8.7,météo très défavorable,17:51:00,08:46:00,-4
2017-01-23,7,-3,8,-3,7,-1,0,75,10,1028,15.375,7,1,-6,113,113,113,0,1,8.7,météo très défavorable,17:53:00,08:45:00,-3
2017-01-24,6,-4,6,-4,5,-2,0,83,10,1030,27.75,6,0,-6,113,119,113,0,2,3.4,météo très défavorable,17:54:00,08:44:00,-3
2017-01-25,3,-4,10,-2,3,-3,0,95,9,1029,4.75,3,0,-5,113,113,113,0,2,8.7,météo très défavorable,17:56:00,08:43:00,-1
