#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2015-01-01,6,-2,18,-2,6,4,0,82,10,1037,21.625,6,5,-7,113,116,113,0,2,8.7,météo très défavorable,17:24:00,08:57:00,-2
2015-01-02,11,3,19,10,11,4,0.7,98,8.875,1037,46.125,11,10,7,200,113,113,0,2,6.9,météo défavorable,17:25:00,08:57:00,9
2015-01-03,13,4,29,10,13,12,0.9,99,7,1035,77.875,13,13,7,122,119,266,0,4,3.3,météo défavorable,17:26:00,08:57:00,4
2015-01-04,12,8,9,10,12,9,0.2,98,6.25,1036,87.875,12,10,8,248,116,122,0,3,5.1,météo défavorable,17:27:00,08:57:00,10
2015-01-05,8,3,15,7,8,5,0,96,6.75,1034,71.875,8,7,2,122,116,143,0,2,6.9,météo très défavorable,17:28:00,08:57:00,7
2015-01-06,12,2,19,5,12,6,1.4,98,6.375,1029,69.25,12,9,2,122,116,293,0,2,5.1,météo très défavorable,17:29:00,08:56:00,3
2015-01-07,8,1,15,1,7,5,1.1,88,9.875,1030,23.875,8,7,-2,113,113,116,0,2,8.7,météo très défavorable,17:30:00,08:56:00,2
2015-01-08,12,6,32,9,12,7,2.7,96,8.75,1035,56.5,12,11,6,119,119,113,0,3,5.1,météo défavorable,17:31:00,08:56:00,9
2015-01-09,15,7,29,12,15,13,0.2,97,10,1035,74.5,15,13,10,122,119,119,0,4,3.3,météo défavorable,17:32:00,08:56:00,10
2015-01-10,14,8,40,13,14,10,1.9,95,6.375,1030,86.125,14,13,10,119,122,266,0,3,3.3,météo défavorable,17:34:00,08:55:00,12
2015-01-11,9,4,19,4,9,5,0.5,89,9.875,1034,28.875,9,5,1,113,113,113,0,2,8.7,météo très défavorable,17:35:00,08:55:00,6
2015-01-12,12,7,32,7,12,11,0.6,93,9,1030,84.5,12,11,3,119,119,122,0,3,3.3,météo défavorable,17:36:00,08:54:00,8
2015-01-13,11,6,39,11,11,7,18.7,96,8.625,1014,67.625,11,10,8,122,305,116,0,3,6.9,météo très défavorable,17:38:00,08:54:00,11
2015-01-14,10,4,25,6,10,9,2.1,89,8.75,1016,56.875,10,8,2,200,116,122,0,2,6.9,météo défavorable,17:39:00,08:53:00,4
2015-01-15,11,5,44,11,10,7,19.2,91,8.875,1005,72.375,11,9,6,122,308,116,0,2,5.1,météo très défavorable,17:40:00,08:52:00,11
2015-01-16,8,3,22,4,8,4,3.3,94,9.375,1014,31.375,8,5,0,119,293,113,0,3,6.9,météo très défavorable,17:42:00,08:52:00,4
2015-01-17,7,0,19,-0,6,3,0,84,10,1019,28.375,7,2,-3,113,113,119,0,2,8.7,météo très défavorable,17:43:00,08:51:00,0
2015-01-18,5,3,18,4,5,5,13.8,97,6.75,1015,94,5,4,-0,119,302,302,0,1,3.4,météo très défavorable,17:45:00,08:50:00,3
2015-01-19,6,0,12,0,5,1,0.3,85,9.875,1015,31.625,6,1,-4,113,113,119,0,1,8.7,météo très défavorable,17:46:00,08:49:00,2
2015-01-20,4,0,22,0,4,1,1.3,87,9.25,1013,75.5,4,0,-4,122,116,116,0,1,5.1,météo très défavorable,17:47:00,08:48:00,1
2015-01-21,4,0,21,0,4,1,3.9,96,9,1009,80.25,4,3,-5,122,122,116,0,1,3.4,météo très défavorable,17:49:00,08:48:00,0
2015-01-22,5,-1,14,-1,5,1,0,86,10,1024,22.25,5,0,-5,113,113,113,0,2,8.7,météo très défavorable,17:50:00,08:47:00,0
2015-01-23,7,-1,6,-1,6,1,0,88,10,1028,16.125,7,2,-4,113,116,116,0,2,8.7,météo très défavorable,17:52:00,08:46:00,-1
2015-01-24,8,1,27,7,8,3,1.9,96,8.75,1034,39,8,7,1,266,113,113,0,3,8.7,météo très défavorable,17:53:00,08:45:00,5
2015-01-25,8,0,11,4,8,4,0.1,82,10,1035,63.75,8,4,1,119,116,119,0,3,5.2,météo très défavorable,17:55:00,08:43:00,3
2015-01-26,12,3,23,5,12,8,0.8,95,7,1032,86.875,12,9,2,122,266,122,0,3,3.4,météo très défavorable,17:56:00,08:42:00,3
