Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
Enedis;2011;Electricité;212.11;1;0;0.993;11510.82;22;0;0.967;12470.09;58;0;0.909;21161.58;3742;0;0.357;0.0;0.0;69.09;1;0;0.0;35352;Vern-sur-Seiche;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;45423.69;35770
Enedis;2019;Electricité;507.286336065858;17;0;0.748;99.4964949347544;1;1;0.902;341.565083821882;25;0;0.524;3545.2902317863;481;0;0.706;0.0;0.0;47.3318855900688;10;0;0.342;35058;La Chapelle-Chaussée;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;4540.970032198863;35630
Enedis;2019;Electricité;334.068281537089;11;0;0.886;101.120326266027;1;1;0.907;814.896549564004;64;0;0.847;4956.56646431835;951;0;0.813;0.907835834;25.8;261.320084987569;17;0;0.65;35079;Chevaigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;6467.971706673039;35250
Enedis;2019;Electricité;203.52103350269;9;0;0.727;98.0025374361073;5;0;0.859;165.966937664773;20;0;0.871;2964.31068616885;419;0;0.768;0.0;0.0;108.386908832655;6;0;0.784;35144;Langan;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;3540.188103605076;35850
Enedis;2019;Electricité;442.943190994402;15;1;0.546;10888.8305056686;80;2;0.729;17859.5004376008;512;1;0.685;14810.7195619296;3690;1;0.626;2.213674517;21.0;1134.36695444905;96;1;0.601;35352;Vern-sur-Seiche;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;45136.36065064245;35770
GRDF;2014;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;2442.0;254;0;0.0;0.0;0.0;0.0;0;0;0.0;35065;La Chapelle-Thouarault;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;2442.0;35590
GRDF;2014;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;3564.0;300;0;0.0;0.0;0.0;0.0;0;0;0.0;35080;Cintré;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;3564.0;35310
GRDF;2014;Gaz;13304.0;3;0;1.0;866.0;1;0;1.0;3886.0;7;0;1.0;18115.0;1657;1;0.0567;0.0;0.0;0.0;0;0;0.0;35206;Noyal-Châtillon-sur-Seiche;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;36171.0;35230/35230
RTE;2013;Electricité;0.0;0;0;0.0;27145.51;1;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;35238;Rennes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;27145.51;35700/35200/35000
Enedis;2015;Electricité;0.0;0;0;0.0;18.65;1;0;0.904;1394.57;7;0;0.986;4802.57;901;0;0.39;0.0;0.0;0.0;0;0;0.0;35250;Saint-Armel;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;6215.79;35230
Enedis;2015;Electricité;259.64;1;0;0.951;8928.37;21;0;0.948;48468.49;177;0;0.965;31051.81;5115;0;0.44;0.0;0.0;0.0;0;0;0.0;35278;Saint-Grégoire;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;88708.31;35760
Enedis;2014;Electricité;0.0;0;0;0.0;67.73;1;0;0.904;100.04;3;0;0.872;5661.3;930;0;0.358;0.0;0.0;0.0;0;0;0.0;35065;La Chapelle-Thouarault;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;5829.070000000001;35590
Enedis;2011;Electricité;326.0;2;0;0.862;21810.88;34;0;0.954;114769.73;241;0;0.953;60883.0;8757;0;0.373;0.0;0.0;2.53;1;0;0.926;35051;Cesson-Sévigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;197792.13999999998;35510
Enedis;2011;Electricité;231.42;3;0;0.873;105.32;1;0;0.905;1556.99;11;0;0.952;13205.01;2061;0;0.32;0.0;0.0;0.0;0;0;0.0;35120;Gévezé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;15098.74;35850
GRDF;2012;Gaz;0.0;0;0;0.0;918.0;2;0;1.0;17148.0;22;0;1.0;59959.0;4030;0;0.0;0.0;0.0;0.0;0;0;0.0;35047;Bruz;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;78025.0;35170/35170
GRDF;2012;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;3777.0;274;0;0.0;0.0;0.0;0.0;0;0;0.0;35080;Cintré;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;3777.0;35310
GRDF;2012;Gaz;3441.0;2;0;1.0;1134.0;1;0;1.0;5586.0;8;0;1.0;34690.0;2090;0;0.0186;0.0;0.0;0.0;0;0;0.0;35210;Pacé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;44851.0;35740
GRDF;2012;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;15805.0;13;0;1.0;48819.0;2402;0;0.0894;0.0;0.0;0.0;0;0;0.0;35278;Saint-Grégoire;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;64624.0;35760
GRDF;2011;Gaz;15117.0;1;0;1.0;68069.0;3;0;1.0;0.0;0;0;0.0;11103.0;952;0;0.0;0.0;0.0;0.0;0;0;0.0;35059;La Chapelle-des-Fougeretz;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;94289.0;35520
GRDF;2011;Gaz;0.0;0;0;0.0;2016.0;2;0;1.0;1445.0;3;0;1.0;6034.0;521;0;0.0;0.0;0.0;0.0;0;0;0.0;35208;Orgères;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;9495.0;35230
GRDF;2011;Gaz;3098.0;2;0;1.0;1228.0;1;0;1.0;4991.0;7;0;0.871;28394.0;2004;0;0.0107;0.0;0.0;0.0;0;0;0.0;35210;Pacé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;37711.0;35740
GRDF;2011;Gaz;0.0;0;0;0.0;967.0;1;0;1.0;16539.0;21;0;0.998;36196.0;3647;0;0.0996;0.0;0.0;0.0;0;0;0.0;35281;Saint-Jacques-de-la-Lande;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;53702.0;35136
GRDF;2011;Gaz;5012.0;2;0;1.0;4709.0;2;0;1.0;5826.0;9;0;0.98;26777.0;2172;1;0.328;0.0;0.0;0.0;0;0;0.0;35352;Vern-sur-Seiche;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;42324.0;35770
GRDF;2015;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;836.0;91;0;0.0;0.0;0.0;0.0;0;0;0.0;35081;Clayes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;836.0;35590
GRDF;2015;Gaz;299.0;1;0;1.0;90499.0;17;0;1.0;401838.0;255;0;0.999;654429.0;64958;0;0.146;0.0;0.0;9418.0;18;2;1.0;35238;Rennes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;1156483.0;35700/35200/35000
GRDF;2013;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;776.0;73;0;0.0;0.0;0.0;0.0;0;0;0.0;35081;Clayes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;776.0;35590
GRDF;2013;Gaz;0.0;0;0;0.0;13949.0;2;0;1.0;377.0;1;0;1.0;8545.0;577;0;0.0;0.0;0.0;0.0;0;0;0.0;35139;Laillé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;22871.0;35890
GRDF;2013;Gaz;522.0;1;0;1.0;98349.0;17;0;1.0;559339.0;266;0;1.0;746611.0;63269;2;0.153;0.0;0.0;10826.0;16;2;1.0;35238;Rennes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;1415647.0;35700/35200/35000
Enedis;2015;Electricité;0.0;0;0;0.0;28590.57;11;0;0.998;3358.31;20;0;0.968;9529.95;2039;0;0.402;0.0;0.0;0.0;0;0;0.0;35131;L'Hermitage;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;41478.83;35590
Enedis;2014;Electricité;119.07;1;0;0.951;5299.97;6;0;0.995;970.83;7;0;0.983;8794.34;1584;0;0.419;0.0;0.0;0.0;0;0;0.0;35032;Bourgbarré;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;15184.21;35230
Enedis;2014;Electricité;377.82;2;0;0.911;343.74;4;0;0.859;2110.53;5;0;0.965;6572.08;1331;0;0.432;0.0;0.0;0.0;0;0;0.0;35266;Saint-Erblon;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;9404.17;35230
GRDF;2018;Gaz;0.0;0;0;0.0;786.12533;4;0;0.25;701.61624;13;0;0.0;4218.48093;411;0;0.0066;0.0;0.0;0.0;0;0;0.0;35039;Brécé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;5706.2225;35530
GRDF;2018;Gaz;0.0;0;0;0.0;309.11873;5;0;0.2;49022.27297;22;0;0.136;8836.50933;917;0;0.00416;0.0;0.0;0.0;0;0;0.0;35266;Saint-Erblon;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;58167.90103;35230
Enedis;2017;Electricité;2.33;1;0;0.0;28.53;1;0;0.843;2244.03;3;0;0.982;5839.41;945;0;0.836;1.15;0.27;0.0;0;0;0.0;35080;Cintré;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;8114.3;35310
Enedis;2017;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;3422.89;432;0;0.76;0.0;0.0;0.0;0;0;0.0;35144;Langan;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;3422.89;35850
